# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	299031
#@/user_id	1dd0fc4f-c87c-47d9-ba60-5efabec58bf4
a 	啊	c=1051 d=1.20603 t=299031
yi bao 	怡宝	c=1 d=1 t=290151
yi bao 	醫保	c=7 d=1.98511 t=280016
yi bao cun 	已保存	c=1 d=1 t=210281
yi bei 	一倍	c=1 d=1 t=126972
yi bei zi 	一輩子	c=4 d=1 t=173908
yi ben 	一本	c=1 d=1 t=256036
yi ben zi 	一本子	c=1 d=1 t=110228
yi beng 	一蹦	c=1 d=1 t=18958
yi bi 	一筆	c=0 d=0.1 t=287445
yi bi yi 	一比一	c=3 d=1 t=286876
yi bian 	一遍	c=45 d=1 t=269718
yi bian 	一邊	c=2 d=1.97045 t=225658
yi bian 	以便	c=13 d=1.67368 t=295432
yi bian ji 	已編輯	c=1 d=1 t=3154
yi biao 	一表	c=2 d=1.97531 t=193194
yi bo 	一波	c=6 d=1 t=147186
yi bo san zhe 	一波三折	c=1 d=1 t=241349
yi bu 	一部	c=2 d=1 t=61537
yi bu 	異步	c=19 d=1 t=290812
yi bu fen 	一部分	c=11 d=1 t=238788
yi bu ren wu 	異步任務	c=2 d=1 t=290730
yi bu shu 	一部署	c=1 d=1 t=137350
yi bu shu 	已部署	c=11 d=1.86071 t=294120
yi bu yi bu 	一步一步	c=2 d=1 t=132919
yi cai 	一猜	c=2 d=1 t=290153
yi cang 	一倉	c=1 d=1 t=247395
yi ce 	一側	c=1 d=1 t=197042
yi ce 	一冊	c=1 d=1 t=272423
yi ceng 	一層	c=9 d=1 t=292659
yi chang 	異常	c=33 d=1 t=269661
yi chang meng 	一場夢	c=1 d=0.1 t=222763
yi chang nei rong 	異常內容	c=1 d=1 t=6353
yi chang you xi 	一場遊戲	c=1 d=0.1 t=222763
yi chang you xi yi chang meng 	一場遊戲一場夢	c=3 d=1.01529 t=223925
yi chao guo 	以超過	c=1 d=1 t=113951
yi chao shi 	已超時	c=1 d=1 t=176537
yi che 	一車	c=1 d=1 t=277345
yi cheng 	已成	c=0 d=0.1 t=229142
yi chu 	一處	c=3 d=1 t=293948
yi chu 	溢出	c=5 d=1.49659 t=252136
yi chu 	移出	c=1 d=1 t=183131
yi chu 	移除	c=47 d=1.26316 t=290917
yi chu li 	一處理	c=1 d=1 t=159119
yi chu li 	已處理	c=1 d=1 t=159120
yi chu qu 	一出去	c=1 d=1 t=26739
yi chuan 	一串	c=1 d=1 t=205960
yi ci 	一次	c=75 d=1.00203 t=295515
yi ci 	以此	c=2 d=1 t=257710
yi ci 	依次	c=1 d=1 t=257711
yi ci lei tui 	以此類推	c=2 d=1 t=255007
yi ci xing 	一次性	c=7 d=1 t=284857
yi cu 	一粗	c=1 d=1 t=9895
yi da 	一大	c=0 d=0.1 t=229733
yi da chuan 	一大串	c=1 d=1 t=153273
yi da duan 	一大段	c=1 d=1 t=180065
yi da dui 	一大堆	c=5 d=1 t=296823
yi da dun 	一打頓	c=1 d=1 t=77340
yi da tiao 	一大跳	c=1 d=1 t=229734
yi da tuo 	一大坨	c=1 d=1 t=202335
yi dai 	一待	c=1 d=1 t=105778
yi dai 	一袋	c=1 d=1 t=189920
yi dan 	一旦	c=1 d=1 t=291782
yi dan sheng ming 	一但聲明	c=1 d=1 t=182115
yi dao 	一刀	c=0 d=0.1 t=162886
yi dao 	一到	c=2 d=1 t=254070
yi dao 	移到	c=2 d=1 t=294357
yi dao dao 	一刀刀	c=1 d=1 t=162887
yi deng 	一燈	c=3 d=0.1 t=224348
yi deng 	乙等	c=1 d=1 t=25906
yi di 	異地	c=6 d=1 t=290520
yi dian 	一點	c=33 d=1.9802 t=293402
yi dian dian 	一點點	c=2 d=1 t=142337
yi dian yi dian 	一點一點	c=2 d=1 t=233471
yi ding 	一定	c=22 d=1.00001 t=298819
yi ding 	一頂	c=1 d=1 t=2796
yi diu diu 	一丟丟	c=2 d=1.80654 t=57341
yi dong 	易懂	c=3 d=1 t=281344
yi dong 	移動	c=65 d=1 t=285069
yi dong dao 	移動到	c=2 d=1 t=148132
yi dong duan 	移動端	c=62 d=1.98511 t=256721
yi dong she bi 	移動涉筆	c=1 d=1 t=251976
yi du 	已讀	c=1 d=1 t=191184
yi duan 	一段	c=10 d=1 t=291494
yi duan shi jian 	一段時間	c=3 d=1 t=202661
yi dui 	一堆	c=28 d=1.99502 t=298938
yi dui duo 	一對多	c=1 d=1 t=295625
yi dui yi 	一對一	c=7 d=1 t=295469
yi dun 	一頓	c=0 d=0.1 t=37644
yi duo suo 	一哆嗦	c=1 d=1 t=162491
yi eng 	一嗯	c=1 d=1 t=71410
yi er 	伊爾	c=5 d=1 t=266225
yi fa 	已發	c=17 d=1.49907 t=167629
yi fa bu 	已發佈	c=9 d=1 t=255219
yi fa huo 	一發貨	c=1 d=1 t=145879
yi fan 	一番	c=2 d=1.63445 t=109487
yi fang 	一放	c=2 d=1 t=206607
yi fang 	乙方	c=9 d=1.96079 t=237663
yi fang 	以防	c=3 d=1 t=287438
yi fang mian 	一方面	c=2 d=1 t=239637
yi fang wan yi 	以防萬一	c=6 d=1 t=230524
yi fei qi 	已廢棄	c=1 d=0.000338834 t=299031
yi fen 	一份	c=18 d=1 t=297103
yi fen 	一分	c=1 d=1 t=276469
yi fen qian 	一分錢	c=1 d=1 t=297783
yi fen zhong 	一分鐘	c=3 d=2.17169 t=3074
yi feng 	一封	c=3 d=1 t=145155
yi fu 	一副	c=1 d=1 t=174229
yi fu 	衣服	c=6 d=1 t=290146
yi ge 	一個	c=1017 d=1.03729 t=299031
yi ge cang ku 	一個倉庫	c=1 d=1 t=105671
yi ge dong xi 	一個東西	c=1 d=1 t=36949
yi ge duo yue 	一個多月	c=1 d=1 t=228298
yi ge fen 	一個分	c=1 d=1 t=73947
yi ge ge 	一個個	c=3 d=1 t=293289
yi ge qu yu 	一個區域	c=1 d=1 t=211259
yi ge ren 	一個人	c=4 d=1 t=239342
yi ge shi 	一個是	c=1 d=1 t=222525
yi ge xiao shi 	一個小時	c=3 d=1 t=263257
yi ge yang 	一個樣	c=2 d=1 t=292686
yi ge yi ge 	一個一個	c=5 d=1 t=291616
yi ge yue 	一個月	c=19 d=1 t=293272
yi gen 	一根	c=4 d=1 t=241546
yi gong 	一共	c=19 d=1 t=294298
yi gong 	以供	c=1 d=1 t=243341
yi gong can kao 	以供參考	c=1 d=1 t=154622
yi gou er 	衣鉤兒	c=1 d=1 t=31007
yi gu 	一股	c=2 d=1.056 t=265051
yi gu wei 	一股味	c=1 d=1 t=265052
yi gua 	一掛	c=1 d=1 t=31416
yi guan bi 	已關閉	c=2 d=1 t=176506
yi gui 	衣櫃	c=4 d=0.1 t=263150
yi guo 	一國	c=1 d=1 t=189302
yi guo 	一過	c=1 d=1 t=189303
yi han 	遺憾	c=0 d=0.1 t=9448
yi han you 	一含有	c=1 d=1 t=111616
yi han zheng 	遺憾整	c=1 d=1 t=9449
yi hang 	一行	c=16 d=1 t=285362
yi hao 	一毫	c=0 d=0.1 t=99625
yi hao 	一號	c=2 d=1 t=135238
yi hao miao 	一毫秒	c=1 d=1 t=99626
yi heng 	一橫	c=1 d=1 t=12876
yi hou 	以後	c=95 d=1.08055 t=297441
yi hou jiu 	以後就	c=1 d=1 t=227676
yi hu 	一戶	c=0 d=0.1 t=203312
yi huang 	一晃	c=1 d=1 t=132781
yi hui 	一回	c=1 d=1 t=123394
yi hui 	一會	c=409 d=0.46329 t=299031
yi hui er 	一會兒	c=2 d=1 t=215510
yi hui hai 	一會還	c=1 d=1 t=137604
yi hui wo 	一會我	c=1 d=1 t=35402
yi hun 	已婚	c=1 d=1 t=259444
yi huo 	一夥	c=2 d=1 t=201207
yi huo 	異或	c=1 d=1 t=245345
yi ji 	一級	c=8 d=1 t=241024
yi ji 	以及	c=30 d=1 t=294439
yi ji 	移機	c=1 d=1 t=4096
yi ji cai dan 	一級菜單	c=2 d=1.97045 t=20943
yi ji du 	一季度	c=0 d=0.1 t=241102
yi jia 	一家	c=7 d=1 t=275752
yi jia 	宜家	c=1 d=1 t=119776
yi jia ren 	一家人	c=2 d=1 t=152793
yi jian 	一鍵	c=1 d=1 t=284709
yi jian 	一間	c=1 d=1 t=240134
yi jian 	已檢	c=4 d=1.06522 t=228006
yi jian 	意見	c=3 d=1 t=110631
yi jian ci shu 	已檢次數	c=1 d=1 t=102623
yi jian qu jian 	一鍵取件	c=4 d=1.00069 t=267278
yi jie 	一截	c=1 d=1 t=290489
yi jie duan 	一階段	c=4 d=2.01819 t=118041
yi jie jue 	以解決	c=1 d=1 t=14566
yi jie jue 	已解決	c=5 d=1 t=201343
yi jie ke 	一節課	c=1 d=1 t=148799
yi jin 	一金	c=1 d=1 t=234104
yi jin lai 	一進來	c=1 d=1 t=11257
yi jing 	一經	c=1 d=1 t=109840
yi jing 	已經	c=394 d=1.10754 t=297037
yi jing bu shu dao ce shi huan jing le 	已經部署到測試環境了	c=1 d=1 t=6524
yi jing dao di 	一鏡到底	c=3 d=1 t=199564
yi jing yan 	已經驗	c=1 d=1 t=33717
yi jing you 	已經有	c=0 d=0.1 t=24247
yi jing you le 	已經有了	c=1 d=1 t=24248
yi jiu huan xin 	以舊換新	c=1 d=1 t=145262
yi ju 	一句	c=2 d=1 t=182587
yi ju 	依據	c=1 d=1 t=106474
yi ju shou 	已拒收	c=5 d=3.22078 t=212879
yi ka 	一卡	c=0 d=0.1 t=274529
yi ka yi ka 	一卡一卡	c=1 d=1 t=274530
yi kai 	一開	c=0 d=0.1 t=147915
yi kai 	移開	c=1 d=1 t=84111
yi kai gai 	一開蓋	c=1 d=1 t=147916
yi kai shi 	一開始	c=11 d=1 t=240789
yi kan 	一看	c=6 d=1 t=242307
yi kan shi 	一看是	c=1 d=1 t=18668
yi ke 	一顆	c=2 d=1 t=251212
yi kou qi 	一口氣	c=1 d=1 t=98617
yi kuai 	一块	c=1 d=1 t=53112
yi kuai 	一塊	c=52 d=1 t=294793
yi kuai chuan 	一塊傳	c=1 d=1 t=98230
yi kuan 	一款	c=1 d=1 t=53111
yi lai 	依賴	c=178 d=1.80654 t=298179
yi lai bao 	依賴包	c=2 d=1.96079 t=142183
yi lai guan xi 	依賴關係	c=1 d=1 t=108620
yi lai sheng ji 	依賴升級	c=1 d=1 t=148425
yi lai suo 	依賴鎖	c=3 d=1 t=223480
yi lai yu 	依賴於	c=1 d=1 t=288213
yi lai yuan xi 	依賴院系	c=1 d=1 t=108619
yi lan 	一覽	c=16 d=1.43823 t=245813
yi lang 	伊朗	c=1 d=1 t=162469
yi lei 	一類	c=2 d=1 t=164842
yi lei 	異類	c=1 d=1 t=173721
yi lia 	一倆	c=1 d=1 t=43977
yi lian 	一臉	c=2 d=1 t=172978
yi lian jie 	已連接	c=1 d=1 t=194243
yi liang 	一輛	c=3 d=1 t=290230
yi liao 	醫療	c=2 d=1.99005 t=259305
yi lie 	一列	c=6 d=1 t=268917
yi ling 	義嶺	c=8 d=1.956 t=213342
yi liu 	遺留	c=7 d=1 t=169209
yi lou 	一樓	c=6 d=1 t=221240
yi lou 	遺漏	c=1 d=1 t=115493
yi lu 	一路	c=2 d=1.99501 t=44660
yi lu 	夷戮	c=1 d=1 t=44658
yi lu shang 	一路上	c=2 d=1.8781 t=133078
yi lun 	一輪	c=2 d=1 t=253264
yi men 	一門	c=1 d=1 t=99955
yi mian 	以免	c=1 d=1 t=13550
yi miao 	一秒	c=3 d=1 t=272511
yi miao 	疫苗	c=20 d=2.92669 t=259460
yi ming 	一名	c=1 d=1 t=99495
yi mo yi yang 	一模一樣	c=5 d=0.000934966 t=299031
yi mu yi yang 	一模一樣	c=1 d=1 t=268428
yi nan 	疑難	c=1 d=1 t=276440
yi nao dai 	一腦袋	c=1 d=1 t=158158
yi nei 	以內	c=3 d=1.99005 t=262764
yi nian 	一年	c=25 d=1.0012 t=290583
yi nian ji 	一年級	c=1 d=1 t=44155
yi nian nei 	一年內	c=2 d=1.99501 t=251482
yi nian yi du 	一年一度	c=1 d=1 t=72100
yi pai 	一拍	c=0 d=0.1 t=127373
yi pai 	一排	c=2 d=1 t=58326
yi pai nao men zi 	一拍腦門子	c=1 d=1 t=127374
yi peng 	一碰	c=1 d=1 t=215168
yi pi 	一批	c=2 d=1 t=242544
yi pian 	一篇	c=4 d=1 t=210729
yi pin 	一品	c=1 d=1 t=241832
yi ping 	一平	c=6 d=2.33824 t=213806
yi qi 	一期	c=28 d=1.96079 t=235903
yi qi 	一起	c=72 d=1.01197 t=297414
yi qi 	一齊	c=2 d=1 t=235894
yi qi pu 	一起鋪	c=2 d=1 t=218355
yi qi qu 	一起去	c=1 d=1 t=223322
yi qi yong 	已啓用	c=2 d=1.97531 t=22803
yi qi yong 	已棄用	c=1 d=1 t=155105
yi qian 	一前	c=1 d=1 t=42170
yi qian 	一千	c=17 d=1.22612 t=286459
yi qian 	一遷	c=1 d=1 t=156017
yi qian 	以前	c=20 d=1 t=295287
yi qian de 	以前的	c=3 d=1 t=81470
yi qian duo 	一千多	c=1 d=1 t=138390
yi qian liu 	一千六	c=1 d=1 t=244292
yi qian ming 	已簽名	c=1 d=1 t=247948
yi qian yuan 	一千元	c=1 d=1 t=134980
yi qiao bu tong 	一竅不通	c=1 d=1 t=276322
yi qie 	一切	c=3 d=1 t=244767
yi qing 	疫情	c=30 d=1 t=232068
yi qing qiu 	已請求	c=1 d=1 t=170905
yi qing zheng ce 	疫情政策	c=1 d=1 t=134871
yi qu xiao 	已取消	c=1 d=1 t=47900
yi quan 	一圈	c=6 d=1.00071 t=193318
yi que ren 	已確認	c=2 d=1 t=185974
yi qun 	一羣	c=5 d=0.1 t=271818
yi qun you 	一羣友	c=1 d=1 t=271819
yi ran 	依然	c=8 d=1 t=254800
yi ran 	屹然	c=2 d=1.99501 t=63676
yi ran 	已然	c=1 d=1 t=187323
yi ren 	一人	c=5 d=1 t=284015
yi ren zheng 	已認證	c=1 d=1 t=249190
yi sao 	一掃	c=0 d=0.1 t=201672
yi shai xuan 	已篩選	c=1 d=1 t=233908
yi shan chu 	一刪除	c=1 d=1 t=54024
yi shan chu 	已刪除	c=1 d=1 t=54026
yi shang 	以上	c=23 d=1.00036 t=296826
yi shang 	移上	c=1 d=1 t=9703
yi shang 	衣裳	c=0 d=0.1 t=2874
yi shang lai 	一上來	c=1 d=1 t=108746
yi shang wu 	一上午	c=3 d=1 t=223753
yi shang xian 	已上線	c=2 d=1 t=195006
yi shen 	一身	c=2 d=1 t=174797
yi shen he 	一審覈	c=1 d=1 t=50154
yi shen qing 	已申請	c=1 d=1 t=227731
yi sheng 	一生	c=2 d=1.09802 t=223929
yi sheng 	一聲	c=28 d=1 t=282895
yi sheng 	藝生	c=1 d=1 t=254975
yi sheng 	醫生	c=2 d=1 t=282896
yi sheng he qiu 	一生何求	c=1 d=1 t=223926
yi sheng suo ai 	一生所愛	c=2 d=1 t=138955
yi sheng zhong 	一生中	c=2 d=1 t=133080
yi shi 	一室	c=0 d=0.1 t=262764
yi shi 	一時	c=1 d=1 t=201933
yi shi 	意識	c=2 d=1 t=143640
yi shi ban hui 	一時半會	c=3 d=1.00001 t=190186
yi shi dao 	意識到	c=1 d=1 t=218442
yi shi liang shi 	一室兩室	c=1 d=1 t=262765
yi shou 	一首	c=1 d=1 t=91116
yi shou ge 	一首歌	c=0 d=0.1 t=11927
yi shu 	一書	c=1 d=1 t=210649
yi shu 	藝術	c=1 d=1 t=118677
yi shu xing shi 	藝術形式	c=1 d=1 t=40329
yi shuang 	一雙	c=1 d=1 t=10968
yi shui 	溢水	c=1 d=1 t=299006
yi shun jian 	一瞬間	c=1 d=1 t=138029
yi shuo 	一說	c=1 d=1 t=292246
yi si 	一絲	c=1 d=1 t=7542
yi si 	意思	c=90 d=1.00054 t=296949
yi si 	疑似	c=2 d=1.13134 t=157915
yi si shi 	意思是	c=1 d=1 t=292605
yi si yi si 	意思意思	c=1 d=1 t=136887
yi sou 	一搜	c=1 d=1 t=7779
yi sun 	易損	c=28 d=1 t=226632
yi sun wei bao 	易損維保	c=72 d=1 t=238478
yi tai 	一臺	c=6 d=1.00062 t=287181
yi tai 	以太	c=1 d=1.01893 t=287180
yi tai bi 	以太幣	c=6 d=1.78957 t=289626
yi tai fang 	以太坊	c=12 d=1.00307 t=293015
yi tang 	一趟	c=7 d=0.1 t=285237
yi tao 	一套	c=14 d=1 t=290263
yi ti 	一題	c=0 d=0.1 t=25900
yi ti 	一體	c=1 d=0.1 t=150557
yi ti 	已提	c=1 d=1 t=297099
yi ti ce 	已提測	c=6 d=2.60344 t=49639
yi ti pen 	一體盆	c=1 d=1 t=150558
yi ti zi 	已提資	c=1 d=1 t=55994
yi tian 	一填	c=1 d=1 t=154229
yi tian 	一天	c=45 d=1 t=298463
yi tian 	已填	c=1 d=1 t=204239
yi tian duo 	一天多	c=1 d=1 t=188947
yi tian tian 	一天天	c=1 d=1 t=84218
yi tiao 	一條	c=24 d=1 t=296086
yi tiao jie 	一條街	c=2 d=1.99005 t=241452
yi tiao long 	一條龍	c=1 d=1 t=132764
yi wai 	以外	c=9 d=1 t=290143
yi wai 	意外	c=1 d=1 t=290144
yi wan 	一萬	c=3 d=1 t=288348
yi wan cheng 	已完成	c=32 d=1 t=227442
yi wan ge 	一萬個	c=1 d=1 t=133071
yi wan kuai 	一萬塊	c=0 d=0.1 t=227045
yi wan kuai qian 	一萬塊錢	c=1 d=1 t=227046
yi wei 	一位	c=5 d=1 t=245310
yi wei 	以爲	c=43 d=0.125588 t=295209
yi wei 	異味	c=1 d=1 t=176075
yi wei xiao shu 	一位小數	c=1 d=1 t=40936
yi wei zhe 	意味着	c=2 d=1.00282 t=252337
yi wen 	一問	c=1 d=1 t=218278
yi wen 	疑問	c=3 d=1 t=267386
yi wo 	一窩	c=0 d=0.1 t=156356
yi wo ren 	一窩人	c=1 d=1 t=156357
yi wu 	一屋	c=1 d=1 t=253935
yi wu 	一無	c=0 d=0.1 t=98554
yi wu 	義務	c=1 d=1 t=231437
yi wu suo yong 	一無所用	c=2 d=1.93239 t=98569
yi wu suo you 	一無所有	c=1 d=1 t=228957
yi wu suo zhi 	一無所知	c=1 d=1 t=98534
yi xi 	一細	c=3 d=1 t=160085
yi xi lie 	一系列	c=7 d=1 t=289621
yi xia 	一下	c=801 d=0.860306 t=299031
yi xia 	以下	c=35 d=1.16215 t=296783
yi xia ba 	一下吧	c=2 d=1 t=133205
yi xia bu 	一下不	c=1 d=1 t=82713
yi xia er 	一下兒	c=3 d=1 t=235551
yi xia wu 	一下午	c=1 d=1 t=222650
yi xia xia 	一下下	c=1 d=1 t=149403
yi xia zai 	一下在	c=1 d=1 t=92622
yi xia zi 	一下子	c=1 d=1 t=205339
yi xian 	一線	c=5 d=1 t=265641
yi xiang 	一想	c=2 d=1 t=254421
yi xiang 	一項	c=23 d=1.04932 t=275012
yi xiang 	意向	c=2 d=1 t=261004
yi xiao bu fen 	一小部分	c=1 d=1 t=91508
yi xiao shi 	一小時	c=1 d=1 t=136814
yi xie 	一些	c=115 d=2.67306 t=295808
yi xie 	一寫	c=1 d=1.1 t=5603
yi xie nei rong 	一寫內容	c=1 d=1 t=5604
yi xin 	易欣	c=1 d=1 t=135851
yi xin 	益新	c=2 d=1 t=241865
yi xin 	益欣	c=1 d=1 t=135850
yi xing 	異形	c=4 d=1 t=250597
yi xing 	異性	c=3 d=0.1 t=169125
yi xing nv 	異性女	c=1 d=1 t=169126
yi xiong 	疑兇	c=2 d=1 t=295766
yi xiu 	一宿	c=1 d=1 t=81293
yi xiu fu 	已修復	c=3 d=1.99588 t=193308
yi xiu gai 	已修改	c=1 d=1 t=3143
yi xuan 	已選	c=50 d=1 t=277299
yi xuan ze 	一選擇	c=3 d=1 t=127321
yi xuan ze 	已選擇	c=1 d=1 t=197993
yi xuan zhong 	已選中	c=1 d=1 t=39956
yi xue 	已學	c=1 d=1 t=232230
yi xue 	醫學	c=0 d=0.100628 t=140048
yi yan 	一眼	c=21 d=1 t=263249
yi yan 	一言	c=0 d=0.1 t=210706
yi yan nan jin 	一言難盡	c=3 d=1 t=240553
yi yang 	一樣	c=188 d=0.000531398 t=299031
yi yang de 	一樣的	c=2 d=1 t=60201
yi yang gao 	一樣高	c=1 d=1 t=250409
yi yang ge 	抑揚格	c=1 d=1 t=153324
yi ye 	一頁	c=7 d=1 t=96883
yi yi 	意義	c=9 d=1 t=260001
yi yi 	異議	c=1 d=1 t=25601
yi yi dui ying 	一一對應	c=2 d=1 t=172808
yi yin 	意淫	c=0 d=0.1 t=67346
yi yong 	已用	c=2 d=1.00057 t=115184
yi yong 	醫用	c=1 d=1 t=62645
yi you 	一有	c=1 d=1 t=112748
yi you 	已有	c=5 d=1 t=260242
yi yu 	抑鬱	c=1 d=1 t=14426
yi yu 	易於	c=1 d=1 t=152632
yi yuan 	一元	c=1 d=1 t=237627
yi yuan 	醫院	c=10 d=1 t=290409
yi yue 	一月	c=3 d=1.21654 t=157453
yi yue fen 	一月份	c=2 d=1 t=274543
yi yue liu hao 	一月六號	c=2 d=1.97531 t=78216
yi zan 	已讚	c=1 d=1 t=75654
yi zhan 	驛站	c=27 d=1 t=298694
yi zhang 	一張	c=25 d=1 t=270148
yi zhang tu 	一張圖	c=1 d=1 t=113068
yi zhe 	譯者	c=3 d=1 t=248071
yi zhen 	一幀	c=4 d=1.90484 t=252364
yi zhen 	一陣	c=1 d=1 t=189298
yi zhen zi 	一陣子	c=1 d=1 t=27259
yi zheng 	一整	c=1 d=1 t=134613
yi zheng 	一證	c=1 d=1 t=193188
yi zheng ge 	一整個	c=1 d=1 t=113760
yi zheng tian 	一整天	c=2 d=1 t=146340
yi zhi 	一直	c=70 d=1.01491 t=299031
yi zhi 	一致	c=46 d=1 t=297564
yi zhi 	一隻	c=1 d=1 t=189342
yi zhi 	已知	c=16 d=1 t=295897
yi zhi ding 	已指定	c=1 d=1 t=277817
yi zhi xing 	一致性	c=1 d=1 t=76882
yi zhong 	一種	c=24 d=1.57121 t=298238
yi zhong zhi 	已中止	c=5 d=2.5706 t=212870
yi zhou 	一週	c=34 d=1.95123 t=265732
yi zhou nei 	一週內	c=2 d=1.00966 t=256472
yi zhu xiao 	已註銷	c=1 d=1 t=176508
yi zhuang 	一樁	c=1 d=1 t=239673
yi zi 	一字	c=1 d=1 t=145818
yi zi 	椅子	c=2 d=1 t=266997
yi zu 	一族	c=0 d=0.1 t=230241
yi zu 	一組	c=2 d=1 t=109175
yi zui 	一嘴	c=1 d=1 t=76781
yi zuo 	一坐	c=0 d=0.1 t=265049
yi zuo xia 	一坐下	c=1 d=1 t=265050
yin 	印	c=2 d=1 t=225481
yin 	因	c=13 d=0.105399 t=299031
yin 	引	c=3 d=1 t=158744
yin 	癮	c=1 d=1 t=158824
yin 	銀	c=1 d=1 t=133502
yin 	陰	c=2 d=1 t=244608
yin 	音	c=3 d=1.18368 t=178326
yin bang 	银棒	c=2 d=1.99501 t=41405
yin bei 	银背	c=0 d=0.1 t=232271
yin bei da xing xing 	银背大猩猩	c=1 d=1 t=232272
yin bi 	隱蔽	c=0 d=0.1 t=231557
yin bian liang 	因變量	c=1 d=1 t=28400
yin biao 	音標	c=7 d=1 t=249635
yin cang 	隱藏	c=165 d=0.0407622 t=299031
yin cang xing 	隱藏性	c=1 d=1 t=295923
yin ceng huo 	因曾獲	c=1 d=1 t=41399
yin ci 	因次	c=1 d=1 t=231691
yin ci 	因此	c=1 d=1 t=289302
yin ci 	淫辭	c=1 d=1 t=231690
yin dao 	引導	c=0 d=0.1 t=128004
yin dao ye 	引導頁	c=1 d=1 t=128005
yin fa 	引發	c=3 d=1 t=290052
yin hang 	銀行	c=6 d=1 t=282584
yin hang ka 	銀行卡	c=4 d=1.97045 t=296054
yin hao 	引號	c=11 d=1 t=279782
yin he 	銀河	c=1 d=1 t=242168
yin huan 	隱患	c=33 d=1.82167 t=226282
yin huan nei rong 	隱患內容	c=1 d=1 t=188012
yin huan xiang qing 	隱患詳情	c=3 d=1.00004 t=195163
yin hui 	淫穢	c=1 d=1 t=226281
yin jin lai 	引進來	c=1 d=1 t=17760
yin li 	陰曆	c=1 d=1 t=58659
yin lian 	銀聯	c=1 d=1 t=129487
yin liang 	音量	c=4 d=1.26448 t=229994
yin liao 	飲料	c=1 d=1 t=106166
yin mi 	隱祕	c=1 d=1 t=236755
yin pin 	音頻	c=8 d=1 t=236815
yin qi 	因其	c=2 d=1 t=153376
yin qi 	引起	c=5 d=1 t=268326
yin qi de 	引起的	c=0 d=0.1 t=90347
yin qing 	引擎	c=3 d=1 t=249474
yin ren er yi 	因人而異	c=1 d=1 t=297942
yin ru 	引入	c=82 d=1.44095 t=292972
yin ru nao hai 	印入腦海	c=1 d=1 t=13444
yin se 	銀色	c=3 d=1 t=233195
yin se 	音色	c=1 d=1 t=26955
yin she 	隱射	c=6 d=1 t=291753
yin shi 	隱式	c=5 d=1.96079 t=258268
yin si 	隱私	c=6 d=1 t=298185
yin tian 	陰天	c=1 d=1 t=10197
yin wei 	因爲	c=117 d=0.114178 t=299031
yin wei ke neng 	因爲可能	c=1 d=1 t=201492
yin wei sha 	因爲啥	c=2 d=1 t=241009
yin xiang 	印象	c=3 d=0.1 t=189360
yin xiang 	音箱	c=9 d=1.00985 t=276023
yin xiang 	音響	c=2 d=1 t=167352
yin xiang li 	印象裏	c=1 d=1 t=189361
yin yang 	陰陽	c=2 d=1 t=254995
yin yang cuo 	陰陽錯	c=2 d=1.99501 t=244605
yin yang jiao 	陰陽角	c=1 d=1 t=207454
yin ying 	陰影	c=1 d=1 t=165474
yin yong 	引用	c=102 d=1 t=297105
yin yong ji shu 	引用計數	c=1 d=1 t=111024
yin you 	引誘	c=1 d=1 t=259344
yin yu 	音域	c=1 d=1 t=133123
yin yuan 	姻緣	c=1 d=1 t=235744
yin yue 	殷悅	c=2 d=1.99501 t=257760
yin yue 	音樂	c=9 d=1 t=290813
yin zhang 	印張	c=2 d=1 t=268492
yin zhang 	印章	c=2 d=1.94176 t=268505
yin zhong 	引種	c=1 d=1 t=282038
ying 	影	c=0 d=0.1 t=17523
ying 	應	c=42 d=1 t=295266
ying 	瑩	c=1 d=1 t=268799
ying 	硬	c=7 d=1 t=297779
ying 	英	c=1 d=1 t=197506
ying bian ma 	硬編碼	c=1 d=1 t=282380
ying bu 	應補	c=1 d=1 t=221375
ying ceng 	應層	c=1 d=1 t=248891
ying chi 	英尺	c=1 d=1 t=189004
ying cun 	英寸	c=3 d=1 t=152835
ying da 	應答	c=3 d=1 t=248233
ying dang 	應當	c=3 d=2.02306 t=231678
ying de 	應得	c=6 d=1 t=298799
ying de gong zi 	應得工資	c=1 d=1 t=219806
ying dui 	應對	c=4 d=1 t=235153
ying er 	嬰兒	c=1 d=1 t=10523
ying fa 	應發	c=2 d=1.94176 t=242638
ying fan 	硬翻	c=1 d=1 t=226227
ying fu 	應付	c=1 d=1 t=104675
ying gai 	應該	c=1014 d=0.386823 t=299031
ying gai kan 	應該看	c=1 d=1 t=23330
ying gai mei wen ti 	應該沒問題	c=1 d=1 t=214361
ying gai shi 	應該是	c=3 d=1 t=224484
ying gang 	硬鋼	c=1 d=1 t=241170
ying gao liang 	應高亮	c=2 d=1 t=270828
ying guo 	英國	c=2 d=1 t=255656
ying guo lai 	贏過來	c=1 d=1 t=230977
ying hua 	櫻花	c=5 d=1 t=257402
ying jian 	硬件	c=2 d=0.0127147 t=299031
ying jian ci shu 	應檢次數	c=1 d=1 t=102621
ying jie 	迎接	c=1 d=1 t=75005
ying jie sheng 	應屆生	c=1 d=1 t=132468
ying kou 	營口	c=1 d=1 t=241801
ying le 	贏了	c=1 d=1 t=156828
