# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	331009
#@/user_id	SyncTemp
a 	啊	c=1139 d=1.2665 t=331009
xian 	闲	c=5 d=4.37313e-35 t=331009
xian 	限	c=1 d=6.68146e-286 t=331009
xian 	险	c=1 d=1 t=330496
xian ai 	险隘	c=1 d=1 t=318919
xian ba 	先把	c=1 d=2.19468e-306 t=331009
xian bie 	先别	c=1 d=1.24241e-171 t=331009
xian cai 	线材	c=1 d=3.17223e-199 t=331009
xian chang 	现场	c=61 d=1.47876 t=331009
xian chang an quan 	现场安全	c=1 d=1.26208e-150 t=331009
xian cheng 	现成	c=20 d=5.55271e-21 t=331009
xian cheng 	线程	c=9 d=1.21668e-36 t=331009
xian cheng 	县城	c=3 d=5.1839e-54 t=331009
xian chi fan 	先吃饭	c=1 d=1.02906e-131 t=331009
xian dai 	现代	c=1 d=2.64634e-243 t=331009
xian de 	显得	c=1 d=0 t=331009
xian ding 	先定	c=1 d=5.53349e-39 t=331009
xian ding 	限定	c=1 d=5.56123e-39 t=331009
xian du 	先读	c=0 d=6.59918e-112 t=331009
xian gen 	先跟	c=2 d=0 t=331009
xian guo 	鲜果	c=0 d=0 t=331009
xian hao 	限号	c=1 d=6.32364e-168 t=331009
xian hou 	先后	c=1 d=1 t=301485
xian ji 	县级	c=1 d=8.67684e-184 t=331009
xian jia 	限价	c=1 d=3.69586e-26 t=331009
xian jian 	仙剑	c=1 d=1.60804e-294 t=331009
xian jie 	衔接	c=0 d=5.66489e-22 t=331009
xian jin xian chu 	先进先出	c=1 d=8.07562e-104 t=331009
xian ju 	现居	c=1 d=1.08039e-86 t=331009
xian ju 	县局	c=1 d=2.20756e-317 t=331009
xian ju di zhi 	现局地址	c=1 d=5.02525e-317 t=331009
xian ju di zhi 	现居地址	c=1 d=5.05044e-317 t=331009
xian ju long 	县局龙	c=1 d=2.21863e-316 t=331009
xian kan 	先看	c=6 d=1.6185e-47 t=331009
xian kan kan 	先看看	c=1 d=0.0300468 t=331009
xian kuang 	现况	c=1 d=0 t=331009
xian lao 	显老	c=1 d=8.58813e-122 t=331009
xian lu 	线路	c=13 d=6.14944e-16 t=331009
xian mo 	限摩	c=1 d=3.15664e-288 t=331009
xian mu 	羡慕	c=2 d=1.18065e-130 t=331009
xian nei 	县内	c=1 d=0 t=331009
xian qi 	掀起	c=1 d=1.11979e-272 t=331009
xian qu 	先去	c=1 d=4.47487e-129 t=331009
xian ran 	显然	c=1 d=0 t=331009
xian ren 	闲人	c=2 d=2.2122e-135 t=331009
xian shang 	线上	c=495 d=0.0096577 t=331009
xian shang bao 	线上包	c=2 d=0 t=331009
xian shang huan jing 	线上环境	c=2 d=0 t=331009
xian shang wen ti 	线上问题	c=4 d=3.13491e-228 t=331009
xian sheng 	先生	c=1 d=0 t=331009
xian sheng 	险胜	c=1 d=0 t=331009
xian shi 	现实	c=3 d=0 t=331009
xian shi 	显士	c=2 d=1.02706e-20 t=331009
xian shi 	显式	c=1 d=0 t=331009
xian shi 	显示	c=211 d=1.21542 t=331009
xian shi bu chu 	显示不出	c=1 d=0 t=331009
xian shi qi 	显示器	c=25 d=2.67491e-46 t=331009
xian shi xian 	先实现	c=1 d=0 t=331009
xian shi xiao guo 	显示效果	c=1 d=3.08664e-142 t=331009
xian shou 	纤手	c=1 d=5.00265e-29 t=331009
xian tiao 	线条	c=5 d=4.66641e-269 t=331009
xian xia 	线下	c=14 d=1.59337e-10 t=331009
xian xian 	献县	c=5 d=3.42938e-57 t=331009
xian xiang 	现象	c=11 d=1.2659e-69 t=331009
xian xing 	现行	c=1 d=6.19145e-96 t=331009
xian xing 	线性	c=1 d=0 t=331009
xian xing 	限行	c=1 d=6.2921e-168 t=331009
xian yan 	显眼	c=0 d=0 t=331009
xian yan fang 	先验房	c=2 d=2.35236e-231 t=331009
xian yang 	咸阳	c=5 d=0 t=331009
xian yong 	先用	c=2 d=0 t=331009
xian you 	现有	c=21 d=1.14687e-16 t=331009
xian yu 	咸鱼	c=3 d=1.60946e-275 t=331009
xian yu hao 	先雨豪	c=1 d=1.96472e-151 t=331009
xian zai 	先在	c=1 d=0 t=331009
xian zai 	现在	c=1003 d=2.10626 t=331009
xian zai mai 	现在买	c=1 d=6.5634e-194 t=331009
xian zan 	先赞	c=1 d=0 t=331009
xian zang 	先脏	c=1 d=0 t=331009
xian zeng 	嫌憎	c=11 d=1.29281e-27 t=331009
xian zhao 	先兆	c=1 d=0 t=331009
xian zhe yang 	先这样	c=2 d=3.76783e-47 t=331009
xian zhi 	闲置	c=7 d=1.51121e-158 t=331009
xian zhi 	限制	c=134 d=7.17434e-06 t=331009
xian zhu 	显著	c=1 d=0 t=331009
xian zhuang 	现状	c=2 d=3.7627e-31 t=331009
xian zi 	弦子	c=1 d=0 t=331009
xiang 	像	c=48 d=0.00172074 t=331009
xiang 	向	c=48 d=0.0407675 t=331009
xiang 	想	c=256 d=0.690734 t=331009
xiang 	箱	c=0 d=6.80626e-199 t=331009
xiang 	响	c=2 d=2.42505e-10 t=331009
xiang 	项	c=89 d=7.24374e-31 t=331009
xiang 	香	c=1 d=0 t=331009
xiang ai 	相爱	c=2 d=7.57267e-164 t=331009
xiang ai hen nan 	相爱很难	c=1 d=7.5865e-163 t=331009
xiang ban fa 	想办法	c=1 d=1 t=307632
xiang bi 	想必	c=1 d=7.95075e-09 t=331009
xiang bi 	相比	c=1 d=1 t=327280
xiang bi da jia 	想必大家	c=1 d=0 t=331009
xiang bu chu 	想不出	c=1 d=1 t=325956
xiang bu dao 	想不到	c=3 d=1.01748e-233 t=331009
xiang bu qi lai 	想不起来	c=1 d=1.43398e-211 t=331009
xiang bu xiang 	想不想	c=1 d=9.95836e-187 t=331009
xiang cai 	香菜	c=1 d=0 t=331009
xiang cha 	相差	c=1 d=0 t=331009
xiang chang 	香肠	c=0 d=6.29772e-297 t=331009
xiang chang pai dui 	香肠派队	c=1 d=6.32929e-296 t=331009
xiang cheng 	相称	c=1 d=1 t=312653
xiang chi 	想吃	c=6 d=1.31309e-28 t=331009
xiang chu 	相处	c=2 d=8.44887e-11 t=331009
xiang dang 	相当	c=1 d=0 t=331009
xiang dang yu 	相当于	c=14 d=3.50415e-17 t=331009
xiang dao 	向导	c=1 d=0 t=331009
xiang dao 	想到	c=9 d=7.10151e-34 t=331009
xiang dao de 	想到的	c=1 d=1 t=316205
xiang de 	像的	c=3 d=5.5067e-217 t=331009
xiang de 	想得	c=2 d=5.5343e-217 t=331009
xiang deng 	相等	c=12 d=5.12862e-07 t=331009
xiang dong 	向东	c=1 d=0 t=331009
xiang duan 	项端	c=1 d=0 t=331009
xiang dui 	相对	c=15 d=1.618e-14 t=331009
xiang dui ding wei 	相对定位	c=1 d=5.0274e-87 t=331009
xiang dui lu jing 	相对路径	c=1 d=0 t=331009
xiang dui ying 	相对应	c=1 d=0 t=331009
xiang dui yu 	相对于	c=1 d=6.1378e-170 t=331009
xiang duo 	想多	c=1 d=5.37039e-275 t=331009
xiang fa 	想法	c=15 d=1.58839e-32 t=331009
xiang fan 	相反	c=1 d=2.967e-31 t=331009
xiang feng 	相逢	c=1 d=0 t=331009
xiang feng le 	想疯了	c=2 d=3.69511e-53 t=331009
xiang gang 	香港	c=8 d=1.05049e-50 t=331009
xiang ge 	相隔	c=3 d=0 t=331009
xiang ge 	翔哥	c=13 d=1.95444e-60 t=331009
xiang gen 	想跟	c=2 d=3.05821e-92 t=331009
xiang gen nin 	想跟您	c=1 d=7.61261e-174 t=331009
xiang gu 	相顾	c=1 d=0 t=331009
xiang gu 	香菇	c=1 d=4.65976e-311 t=331009
xiang guan 	相关	c=281 d=3.22853e-05 t=331009
xiang guan de 	相关的	c=2 d=1.30552e-107 t=331009
xiang guan lian 	相关联	c=2 d=7.50815e-41 t=331009
xiang guan ren yuan 	相关人员	c=1 d=2.30321e-315 t=331009
xiang guan ta 	相关他	c=1 d=1 t=319270
xiang guan wen ti 	相关问题	c=1 d=2.26126e-99 t=331009
xiang guo 	想过	c=8 d=1.66666e-39 t=331009
xiang hao 	想好	c=11 d=2.97485e-07 t=331009
xiang he 	祥和	c=0 d=0 t=331009
xiang he li 	祥和里	c=17 d=4.60741e-78 t=331009
xiang hua qiang 	向华强	c=1 d=0 t=331009
xiang hui lai 	想回来	c=1 d=1 t=301759
xiang jia 	相加	c=4 d=4.8248e-39 t=331009
xiang jian 	详见	c=5 d=4.34104e-32 t=331009
xiang jiao 	香蕉	c=8 d=1.972e-151 t=331009
xiang jin 	相近	c=2 d=2.30807e-281 t=331009
xiang jin 	详尽	c=1 d=0 t=331009
xiang ju 	乡居	c=0 d=0 t=331009
xiang jun 	向军	c=1 d=0 t=331009
xiang kan 	想看	c=1 d=1.28435e-238 t=331009
xiang la 	响啦	c=1 d=0 t=331009
xiang lai 	想来	c=2 d=3.26098e-310 t=331009
xiang lai xiang qu 	想来想去	c=1 d=6.02133e-33 t=331009
xiang le 	想了	c=1 d=1 t=313160
xiang le xiang 	想了想	c=1 d=1 t=313172
xiang lin 	相邻	c=7 d=2.88618e-58 t=331009
xiang mi 	详密	c=1 d=9.63816e-273 t=331009
xiang ming 	向明	c=1 d=0 t=331009
xiang mu 	项目	c=526 d=0.414783 t=331009
xiang mu de 	项目的	c=2 d=1.05224e-99 t=331009
xiang mu jiu 	项目就	c=1 d=2.48308e-141 t=331009
xiang mu li 	项目里	c=2 d=3.03591e-06 t=331009
xiang mu ming 	项目名	c=2 d=4.25545e-67 t=331009
xiang mu qun 	项目群	c=1 d=0 t=331009
xiang mu ye 	橡木叶	c=1 d=0 t=331009
xiang mu zhong 	项目中	c=1 d=1.04692e-10 t=331009
xiang mu zu 	项目组	c=2 d=1 t=325878
xiang ni 	想你	c=1 d=9.68647e-273 t=331009
xiang qi 	想起	c=3 d=2.4503e-308 t=331009
xiang qi lai 	想起来	c=3 d=9.36051e-47 t=331009
xiang qing 	详情	c=404 d=0.249738 t=331009
xiang qing li 	详情里	c=2 d=5.09087e-239 t=331009
xiang qing mian 	详情面	c=1 d=0 t=331009
xiang qing ye 	详情也	c=3 d=0 t=331009
xiang qing ye 	详情页	c=23 d=2.04593e-153 t=331009
xiang qing ye mian 	详情页面	c=25 d=2.43803e-14 t=331009
xiang qu 	想去	c=1 d=4.7051e-131 t=331009
xiang que 	详确	c=1 d=1 t=325610
xiang que yi 	想缺一	c=1 d=0 t=331009
xiang ri kui 	向日葵	c=9 d=6.25834e-46 t=331009
xiang shang 	向上	c=6 d=1.2822e-42 t=331009
xiang shi 	像是	c=3 d=3.2656e-158 t=331009
xiang shi 	相识	c=1 d=0 t=331009
xiang shui 	香水	c=2 d=4.63961e-164 t=331009
xiang shuo 	想说	c=2 d=1.54246e-216 t=331009
xiang si 	相似	c=1 d=0 t=331009
xiang su 	像素	c=10 d=1.16136e-112 t=331009
xiang tong 	想通	c=3 d=0 t=331009
xiang tong 	相同	c=45 d=2.58079e-07 t=331009
xiang tong de 	相同的	c=2 d=1.75185e-82 t=331009
xiang tong de xuan xiang 	相同的选项	c=1 d=0 t=331009
xiang wai 	向外	c=1 d=4.90077e-81 t=331009
xiang wen 	想问	c=3 d=2.80098e-30 t=331009
xiang wen xia 	想问下	c=1 d=2.55679e-191 t=331009
xiang wen yi xia 	想问一下	c=2 d=1.18826e-88 t=331009
xiang wo 	向我	c=1 d=1 t=309363
xiang wo 	想我	c=4 d=1.9449e-120 t=331009
xiang xi 	详细	c=10 d=0.000210716 t=331009
xiang xia 	向下	c=10 d=1.18404e-95 t=331009
xiang xia jian rong 	向下兼容	c=1 d=1.50626e-25 t=331009
xiang xia qu zheng 	向下取整	c=1 d=2.26473e-117 t=331009
xiang xiang 	想想	c=23 d=0.112478 t=331009
xiang xiang 	相像	c=1 d=0 t=331009
xiang xiao 	想笑	c=1 d=0 t=331009
xiang xin 	相信	c=1 d=0 t=331009
xiang yan 	香烟	c=1 d=1.22968e-285 t=331009
xiang yao 	想要	c=18 d=7.83904e-19 t=331009
xiang yao wen 	想要问	c=1 d=1 t=304604
xiang ye 	乡野	c=1 d=8.85607e-248 t=331009
xiang ying 	相应	c=10 d=0.0231676 t=331009
xiang ying 	响应	c=51 d=0.0230521 t=331009
xiang ying dao 	响应到	c=1 d=9.83979e-105 t=331009
xiang ying dui xiang 	响应对象	c=1 d=0 t=331009
xiang ying gei 	响应给	c=1 d=1.97362e-116 t=331009
xiang ying shi 	相应是	c=1 d=0.000958635 t=331009
xiang ying shi 	响应式	c=22 d=0.0245971 t=331009
xiang ying shi dui xiang 	响应式对象	c=1 d=0 t=331009
xiang ying ti 	响应体	c=1 d=2.12205e-28 t=331009
xiang ying tou 	响应头	c=2 d=1.66037e-24 t=331009
xiang ying xing 	响应性	c=7 d=8.39117e-55 t=331009
xiang ying xing 	响应行	c=1 d=0 t=331009
xiang zhe 	想着	c=13 d=0.579842 t=331009
xiang zhe ge 	像这个	c=1 d=7.49545e-168 t=331009
xiang zhong 	相中	c=2 d=3.86654e-204 t=331009
xiang zhong 	响钟	c=1 d=8.99326e-223 t=331009
xiang zhu 	相助	c=1 d=8.49517e-141 t=331009
xiang zi 	箱子	c=5 d=8.42787e-39 t=331009
xiao 	小	c=108 d=7.65877e-10 t=331009
xiao 	效	c=1 d=9.00522e-268 t=331009
xiao 	晓	c=9 d=8.21303e-126 t=331009
xiao 	校	c=0 d=0 t=331009
xiao 	潇	c=1 d=2.19495e-43 t=331009
xiao 	笑	c=1 d=6.83059e-281 t=331009
xiao ai 	小爱	c=4 d=1.25712e-280 t=331009
xiao ba wang 	小霸王	c=3 d=0 t=331009
xiao ba xi 	小把戏	c=1 d=1.60835e-120 t=331009
xiao bai 	小佰	c=1 d=0 t=331009
xiao bi ji ben 	小笔记本	c=1 d=0 t=331009
xiao bu fen 	小部份	c=1 d=2.19365e-321 t=331009
xiao bu jian 	小部件	c=1 d=1.34896e-286 t=331009
xiao bu men 	小部门	c=1 d=4.24898e-196 t=331009
xiao ce 	小册	c=5 d=7.23142e-11 t=331009
xiao ce shi 	小测试	c=2 d=0 t=331009
xiao chang shi 	小常识	c=2 d=0 t=331009
xiao chao shi 	小超市	c=1 d=0 t=331009
xiao cheng 	小城	c=1 d=3.82664e-229 t=331009
xiao cheng xu 	小程序	c=197 d=1.421e-16 t=331009
xiao cheng yu 	小城预	c=1 d=2.35357e-246 t=331009
xiao chi 	小吃	c=4 d=4.59994e-125 t=331009
xiao chu 	削除	c=7 d=2.9762e-37 t=331009
xiao chu 	消除	c=7 d=1.37064e-36 t=331009
xiao chuan 	小串	c=1 d=1.58549e-128 t=331009
xiao chuan 	小川	c=0 d=4.71136e-177 t=331009
xiao de 	晓得	c=1 d=0 t=331009
xiao de you hua 	小的优化	c=1 d=0 t=331009
xiao di 	小弟	c=1 d=0 t=331009
xiao di fang 	小地方	c=1 d=1.42726e-97 t=331009
xiao di tu 	小地图	c=1 d=0 t=331009
xiao du shui 	消毒水	c=1 d=4.54419e-104 t=331009
xiao fa 	小发	c=1 d=1 t=305231
xiao fang 	消防	c=1 d=1.3659e-227 t=331009
xiao fang shuan 	消防栓	c=1 d=2.55228e-229 t=331009
xiao fei 	小飞	c=0 d=0 t=331009
xiao fei 	消费	c=9 d=1.25373e-72 t=331009
xiao fei chong 	小飞虫	c=1 d=0 t=331009
xiao fen 	小粉	c=0 d=0 t=331009
xiao fen hong 	小粉红	c=1 d=0 t=331009
xiao feng 	小凤	c=0 d=5.18215e-268 t=331009
xiao gai dong 	小改动	c=1 d=3.17472e-267 t=331009
xiao gong si 	小公司	c=2 d=8.07588e-75 t=331009
xiao guan 	校官	c=1 d=1 t=305064
xiao guang 	小广	c=3 d=2.13845e-236 t=331009
xiao guo 	效果	c=100 d=0.484325 t=331009
xiao guo tu 	效果图	c=17 d=2.68648e-38 t=331009
xiao hai 	小孩	c=3 d=0.00663593 t=331009
xiao hao 	消耗	c=18 d=5.54998e-15 t=331009
xiao hao liang 	消耗量	c=2 d=0 t=331009
xiao hao tong ji 	消耗统计	c=1 d=0 t=331009
xiao he 	小河	c=1 d=0.748264 t=331009
xiao hei 	小黑	c=1 d=2.71331e-96 t=331009
xiao hong dian 	小红点	c=1 d=0 t=331009
xiao hu xing 	小户型	c=2 d=3.30003e-183 t=331009
xiao huang 	小黄	c=0 d=3.45846e-323 t=331009
xiao huang che 	小黄车	c=1 d=6.47932e-160 t=331009
xiao huang hua 	小黄花	c=1 d=2.3108e-148 t=331009
xiao huang ren 	小黄人	c=3 d=4.83034e-314 t=331009
xiao hui 	销毁	c=10 d=2.62308e-57 t=331009
xiao huo 	小伙	c=1 d=0 t=331009
xiao huo ban 	小伙伴	c=4 d=6.92825e-50 t=331009
xiao huo jian 	小火箭	c=1 d=4.4197e-277 t=331009
xiao ji 	小计	c=1 d=3.80339e-128 t=331009
xiao ji 	小鸡	c=0 d=0 t=331009
xiao ji mo ni qi 	小鸡模拟器	c=1 d=0 t=331009
xiao ke li 	小颗粒	c=1 d=0 t=331009
xiao kuo hao 	小括号	c=1 d=1.3453e-254 t=331009
xiao lian 	笑脸	c=1 d=0 t=331009
xiao liang 	销量	c=2 d=2.3557e-51 t=331009
xiao ling tong 	小灵通	c=1 d=2.20994e-123 t=331009
xiao long 	晓龙	c=3 d=2.4254e-188 t=331009
xiao lou 	小楼	c=1 d=1 t=302783
xiao lu 	小路	c=4 d=4.11959e-97 t=331009
xiao lv 	效率	c=8 d=0.151829 t=331009
xiao mei 	小妹	c=2 d=5.10963e-72 t=331009
xiao men 	小门	c=1 d=0 t=331009
xiao mi 	小米	c=46 d=1.32124e-42 t=331009
xiao mi dian shi 	小米电视	c=1 d=0 t=331009
xiao mi jiao 	小密教	c=1 d=0 t=331009
xiao mi jiao 	小米椒	c=1 d=0 t=331009
xiao mu 	小木	c=4 d=5.74561e-11 t=331009
xiao mu biao 	小目标	c=3 d=9.26617e-163 t=331009
xiao mu zhi 	小拇指	c=1 d=0 t=331009
xiao pin 	小品	c=5 d=1.65543e-224 t=331009
xiao ping 	小屏	c=2 d=8.31617e-67 t=331009
xiao ping mi 	小平米	c=1 d=3.62467e-150 t=331009
xiao qu 	小区	c=31 d=0.0522747 t=331009
xiao qu feng bi 	小区封闭	c=1 d=1.16004e-305 t=331009
xiao qu jing tai guan li 	小区静态管理	c=1 d=1.7674e-288 t=331009
xiao quan xian 	小权限	c=2 d=0 t=331009
xiao ren 	小人	c=2 d=0 t=331009
xiao ren wu 	小人物	c=1 d=0.0214936 t=331009
xiao shan 	萧山	c=3 d=1.83129e-60 t=331009
xiao shen yang 	小沈阳	c=1 d=1.63078e-224 t=331009
xiao sheng 	小声	c=1 d=0 t=331009
xiao sheng pa pa 	小声怕怕	c=1 d=0 t=331009
xiao sheng wu 	小生物	c=1 d=1 t=307961
xiao shi 	小事	c=1 d=0 t=331009
xiao shi 	小时	c=64 d=1.56792e-09 t=331009
xiao shi 	消失	c=36 d=2.35578e-22 t=331009
xiao shi de 	小时的	c=1 d=0 t=331009
xiao shi de 	消失的	c=1 d=0 t=331009
xiao shi er 	小事儿	c=1 d=0 t=331009
xiao shi hou 	小时候	c=1 d=5.276e-96 t=331009
xiao shi le 	消失了	c=1 d=0 t=331009
xiao shou 	小手	c=4 d=7.26921e-176 t=331009
xiao shou 	销售	c=6 d=2.1448e-21 t=331009
xiao shu 	小数	c=33 d=1.92246e-13 t=331009
xiao shu dian 	小数点	c=10 d=6.38458e-13 t=331009
xiao shu wei 	小数位	c=5 d=0 t=331009
xiao shu wei shu 	小数位数	c=7 d=0 t=331009
xiao si 	笑死	c=1 d=7.2905e-136 t=331009
xiao su 	小苏	c=1 d=1.59893e-286 t=331009
xiao tian quan 	哮天犬	c=1 d=8.12163e-112 t=331009
xiao tiao 	小条	c=1 d=0 t=331009
xiao tie si 	小铁丝	c=1 d=0 t=331009
xiao ting 	消停	c=0 d=1.39913e-11 t=331009
xiao ting hui 	消停会	c=1 d=1.52463e-285 t=331009
xiao wei ba 	小尾巴	c=1 d=1 t=302759
xiao wen ti 	小问题	c=1 d=1 t=315054
xiao wu 	小屋	c=2 d=7.84546e-58 t=331009
xiao xi 	消息	c=55 d=0.0558548 t=331009
xiao xi jie 	小细节	c=1 d=0 t=331009
xiao xiao 	小小	c=1 d=1.65322e-32 t=331009
xiao xie 	小写	c=17 d=1.54425e-259 t=331009
xiao xin 	小心	c=2 d=5.84541e-184 t=331009
xiao xin 	小新	c=5 d=9.1291e-76 t=331009
xiao xin dian 	小心点	c=1 d=0.00856561 t=331009
xiao xiu 	小修	c=5 d=7.42237e-141 t=331009
xiao xiu gai 	小修改	c=4 d=2.31853e-246 t=331009
xiao xu 	小旭	c=4 d=0.0655462 t=331009
xiao xue 	小学	c=2 d=1.96712e-136 t=331009
xiao ya 	小雅	c=6 d=1.65778e-35 t=331009
xiao yang 	小样	c=1 d=1.06126e-23 t=331009
xiao yao 	逍遥	c=1 d=2.92264e-88 t=331009
xiao yao ji 	小幺鸡	c=1 d=0 t=331009
xiao yi gui 	小衣柜	c=1 d=1.2234e-78 t=331009
xiao ying 	效应	c=3 d=4.1555e-199 t=331009
xiao you 	校友	c=1 d=0 t=331009
xiao you hua 	小优化	c=10 d=1.24224e-140 t=331009
xiao yu 	小于	c=19 d=1.56818e-43 t=331009
xiao yu deng yu 	小于等于	c=2 d=1.17519e-43 t=331009
xiao yu zhou 	小宇宙	c=2 d=3.94481e-285 t=331009
xiao yuan 	小院	c=2 d=3.26383e-181 t=331009
xiao zhe 	笑着	c=1 d=0 t=331009
xiao zhen 	小镇	c=1 d=9.4862e-145 t=331009
xiao zhou 	小周	c=8 d=0 t=331009
xiao zu 	小组	c=1 d=2.12358e-155 t=331009
xiao zu nei 	小组内	c=1 d=2.13423e-154 t=331009
xie 	些	c=47 d=1.66813e-20 t=331009
xie 	协	c=1 d=5.18895e-18 t=331009
xie 	卸	c=3 d=3.88545e-246 t=331009
xie 	写	c=262 d=3.29707e-05 t=331009
xie 	斜	c=7 d=0.202909 t=331009
xie 	械	c=0 d=4.24698e-309 t=331009
xie 	谢	c=4 d=7.56942e-19 t=331009
xie 	鞋	c=4 d=6.87757e-09 t=331009
xie bian 	协变	c=3 d=8.24239e-105 t=331009
xie bian 	斜边	c=3 d=2.70448 t=310395
xie bian ni bian 	协变逆变	c=1 d=1.63466e-105 t=331009
xie cai 	歇菜	c=2 d=7.99119e-98 t=331009
xie cheng 	携程	c=1 d=0 t=331009
xie cuo 	写错	c=5 d=7.95294e-71 t=331009
xie cuo le 	写错了	c=1 d=2.83801e-154 t=331009
xie dai 	携带	c=4 d=7.38834e-87 t=331009
xie dai ma 	写代码	c=2 d=0 t=331009
xie dao 	写到	c=3 d=1.54314e-133 t=331009
xie de 	写的	c=2 d=8.1632e-172 t=331009
xie di 	泻地	c=2 d=1.15738e-43 t=331009
xie dian 	写点	c=1 d=0 t=331009
xie fa 	写法	c=8 d=5.2891e-37 t=331009
xie gang 	斜杠	c=6 d=0.0203434 t=331009
xie gou 	斜沟	c=59 d=1.22516e-183 t=331009
xie gui 	鞋柜	c=5 d=1.21123e-78 t=331009
xie guo 	写过	c=1 d=3.10277e-262 t=331009
xie hao 	写好	c=5 d=4.34022e-05 t=331009
xie hui 	歇会	c=1 d=6.43426e-78 t=331009
xie jia 	鞋架	c=1 d=0 t=331009
xie kai 	卸开	c=1 d=0 t=331009
xie ke 	携刻	c=1 d=7.31068e-286 t=331009
xie le 	卸了	c=3 d=0.852144 t=331009
xie le 	写了	c=5 d=3.66434e-131 t=331009
xie lou 	泄漏	c=11 d=1.15835e-06 t=331009
xie men 	邪门	c=4 d=0 t=331009
xie mi 	泄密	c=1 d=0 t=331009
xie ming 	写明	c=1 d=4.31407e-169 t=331009
xie nei 	写内	c=1 d=1 t=309354
xie pu 	斜铺	c=1 d=1 t=310352
xie qing chu 	写清除	c=1 d=1.96827e-231 t=331009
xie ru 	写入	c=18 d=5.08101e-06 t=331009
xie shang 	协商	c=25 d=2.95606e-46 t=331009
xie shang huan cun 	协商缓存	c=1 d=5.4988e-112 t=331009
xie shang li zhi 	协商离职	c=1 d=2.28695e-173 t=331009
xie shang yi zhi 	协商一致	c=4 d=1.93622 t=310004
xie si 	写死	c=85 d=0.123687 t=331009
xie si de 	写死的	c=6 d=3.16896e-40 t=331009
xie tian xie di 	谢天谢地	c=1 d=2.3696e-32 t=331009
xie tiao 	协调	c=2 d=7.35853e-157 t=331009
xie tong 	协同	c=14 d=5.43113e-84 t=331009
xie tong zhong xin 	协同中心	c=18 d=1.73482e-128 t=331009
xie wan 	写完	c=1 d=2.46575e-235 t=331009
xie wo 	谢我	c=1 d=1.17765e-247 t=331009
xie xi 	歇息	c=2 d=0 t=331009
xie xi xie xi 	歇息歇息	c=1 d=0 t=331009
xie xian 	斜线	c=2 d=0 t=331009
xie xie 	写写	c=1 d=0 t=331009
xie xie 	歇歇	c=3 d=0 t=331009
xie xie 	谢谢	c=115 d=1.11491e-15 t=331009
xie xie le 	谢谢了	c=1 d=0 t=331009
xie xiu lei 	谢修磊	c=16 d=0 t=331009
xie xu 	些许	c=1 d=2.30295e-108 t=331009
xie yi 	协议	c=56 d=0.0108954 t=331009
xie yi shu 	协议书	c=2 d=2.42036e-46 t=331009
xie yi xia 	写一下	c=1 d=4.89534e-303 t=331009
xie yi zu 	协议族	c=2 d=9.45302e-110 t=331009
xie zai 	卸载	c=11 d=0.0784731 t=331009
xie zhe 	写着	c=7 d=0.000172544 t=331009
xie zhi 	挟制	c=1 d=1.81855e-212 t=331009
xie zhu 	协助	c=29 d=1.10556e-151 t=331009
xie zi 	写字	c=0 d=0 t=331009
xie zi 	蝎子	c=0 d=1.58685e-286 t=331009
xie zi zhuo 	写字桌	c=1 d=0 t=331009
xie zuo 	协作	c=1 d=5.72698e-296 t=331009
xin 	信	c=20 d=0.0206004 t=331009
xin 	心	c=19 d=2.78463e-19 t=331009
xin 	忻	c=1 d=0 t=331009
xin 	新	c=260 d=0.234596 t=331009
xin 	薪	c=3 d=4.13561e-54 t=331009
xin 	辛	c=1 d=0 t=331009
xin 	鑫	c=1 d=0 t=331009
xin 	馨	c=2 d=4.76875e-142 t=331009
xin ai 	心爱	c=1 d=0 t=331009
xin ao 	新奥	c=25 d=1 t=328550
xin ao xin zhi 	新奥新智	c=2 d=1.39653 t=316716
xin ban 	新版	c=10 d=1.03774e-24 t=331009
xin ban 	新办	c=1 d=0 t=331009
xin ban ben 	新版本	c=3 d=1.93631e-68 t=331009
xin bao 	新包	c=1 d=6.10743e-288 t=331009
xin bao 	辛宝	c=1 d=9.80541e-152 t=331009
xin biao qian 	新标签	c=1 d=0 t=331009
xin cheng 	新城	c=2 d=0 t=331009
xin cheng xiao qu 	新城小区	c=2 d=0 t=331009
xin chuang kou 	新窗口	c=4 d=8.52814e-69 t=331009
xin da kai 	新打开	c=1 d=0 t=331009
xin dao 	新到	c=1 d=0 t=331009
xin de 	心得	c=1 d=3.25585e-211 t=331009
xin de 	新的	c=30 d=5.82531e-26 t=331009
xin dong 	心动	c=1 d=0 t=331009
xin dong zhong 	新洞中	c=1 d=1.31413e-243 t=331009
xin dong zhong xin 	心动中心	c=1 d=0 t=331009
xin fang 	新房	c=3 d=3.67492e-18 t=331009
xin feng 	信封	c=1 d=0 t=331009
xin fu wu 	新服务	c=1 d=5.15676e-33 t=331009
xin gai nan 	新改难	c=1 d=1 t=300204
xin gai nian 	新概念	c=15 d=8.57728e-19 t=331009
xin gong 	新共	c=2 d=1.04412e-243 t=331009
xin gong neng 	新功能	c=33 d=0.40657 t=331009
xin guan 	新冠	c=3 d=5.9467e-239 t=331009
xin hao 	信号	c=27 d=2.00298e-13 t=331009
xin hao dian 	信号点	c=11 d=0 t=331009
